,K,m,cluster mean phase velocity,cluster size,type,$r$\'s temporal std
1932,5.299999999999999,2.3,0.001911057401844136,471.0,main,0.008813775088334846
1933,5.399999999999999,2.3,0.004423110835818459,472.0,main,0.008471793080396597
1934,5.499999999999998,2.3,0.001421010053871674,473.0,main,0.008979229674843346
1935,5.599999999999998,2.3,0.001260661204636862,473.0,main,0.008628932225084275
1936,5.699999999999998,2.3,0.001075055239010251,473.0,main,0.00798309855588529
1937,5.799999999999997,2.3,0.003450162686426413,476.0,main,0.008141205990942745
1938,5.899999999999997,2.3,0.003039314555600878,476.0,main,0.008451536433841568
1939,5.999999999999996,2.3,-0.003176883188587413,478.0,main,0.008257217998515943
1940,6.099999999999996,2.3,-0.003670784070489974,478.0,main,0.007569330753624292
1941,6.199999999999996,2.3,-0.01472176782390049,482.0,main,0.007055735981744497
1942,6.299999999999995,2.3,-0.01468919859933046,482.0,main,0.007574739601544058
1943,6.399999999999995,2.3,-0.0145295471539361,482.0,main,0.006846268949047565
1944,6.499999999999995,2.3,-0.01449534164470502,482.0,main,0.007425775152136995
1945,6.599999999999994,2.3,-0.01433452996301735,482.0,main,0.007517770642566933
1946,6.699999999999994,2.3,-0.0172041037748892,483.0,main,0.007041176370626424
1947,6.799999999999994,2.3,-0.01692402701892873,483.0,main,0.006830911638184882
1948,6.899999999999993,2.3,-0.01964272374859462,484.0,main,0.007024609516915041
1949,6.999999999999993,2.3,-0.01933179392253355,484.0,main,0.006770546697679194
1950,7.099999999999993,2.3,-0.01584345682982926,485.0,main,0.007092121143092901
1951,7.199999999999992,2.3,-0.01221394714100898,488.0,main,0.006517735619763083
1952,7.299999999999992,2.3,-0.01198193214687407,488.0,main,0.006381927176469477
1953,7.399999999999991,2.3,-0.01173854753718632,488.0,main,0.006557771069027645
1954,7.499999999999991,2.3,-0.01134006490518892,488.0,main,0.006021558005360992
1955,7.599999999999991,2.3,-0.01111474606688037,488.0,main,0.006216126848101263
1956,7.69999999999999,2.3,-0.007381328679718724,489.0,main,0.006178400958175971
1957,7.79999999999999,2.3,-0.007177496781273668,489.0,main,0.006595681230060194
1958,7.89999999999999,2.3,-0.01002455541247578,490.0,main,0.006114619904379266
1959,7.999999999999989,2.3,-0.009515043364886297,490.0,main,0.006107487450492976
1960,8.099999999999989,2.3,-0.008774466422127682,490.0,main,0.005978439445798057
1961,8.199999999999989,2.3,0.00382107950506939,494.0,main,0.004579198506020214
1962,8.299999999999988,2.3,0.003923312538806611,494.0,main,0.00454703328278383
1963,8.399999999999988,2.3,0.004064398214484765,494.0,main,0.00447788771536897
1964,8.499999999999988,2.3,0.004204616932535327,494.0,main,0.004955502887639722
1965,8.599999999999987,2.3,0.004360698438798005,494.0,main,0.004476471381122298
1966,8.699999999999987,2.3,0.007276751564530544,497.0,main,0.002338233519085667
1967,8.799999999999986,2.3,0.007256997269417436,497.0,main,0.002341718209045108
1968,8.899999999999986,2.3,0.007321158624202993,497.0,main,0.002350399787389637
1969,8.999999999999986,2.3,0.007314902564402105,497.0,main,0.002346930846272455
1970,9.099999999999985,2.3,0.007331032807114876,497.0,main,0.002341222839532322
1971,9.199999999999985,2.3,0.007360291552054376,497.0,main,0.002307243100171456
1972,9.299999999999985,2.3,0.00741128387350435,497.0,main,0.002310122957845911
1973,9.399999999999984,2.3,0.007459554354812759,497.0,main,0.002311242791276693
1974,9.499999999999984,2.3,0.007499859733876501,497.0,main,0.002295568993177776
1975,9.599999999999984,2.3,0.00754453763044017,497.0,main,0.002295833371833525
1976,9.699999999999983,2.3,0.00757819209666844,497.0,main,0.002313505135789317
1977,9.799999999999983,2.3,0.007627283808308288,497.0,main,0.002311653915001397
1978,9.899999999999983,2.3,0.007765534966094042,497.0,main,0.002302365162257813
1979,9.999999999999982,2.3,0.007883527671772111,497.0,main,0.002242034977634102
1980,2.2,2.4,0.1794520272340976,44.0,main,0.02884645138459414
1981,2.3,2.4,0.1817202621495988,71.0,main,0.02842007534665106
1982,2.4,2.4,0.00952723494995197,348.0,main,0.01686913889382747
1983,2.5,2.4,0.01653999052725819,361.0,main,0.01837765330721946
1984,2.6,2.4,0.0103213095111518,368.0,main,0.0194614330968529
1985,2.7,2.4,0.01400226452885814,383.0,main,0.01871263279653514
1986,2.8,2.4,0.02993187406825806,392.0,main,0.01729547387573665
1987,2.9,2.4,0.02609158403971159,404.0,main,0.01715916479153815
1988,3.0,2.4,0.02830225411400336,409.0,main,0.01583537336150428
1989,3.1,2.4,0.02868206538345446,409.0,main,0.01550724033290895
1990,3.2,2.4,0.02576311668225406,412.0,main,0.01544850350855256
1991,3.3,2.4,0.03543402620512894,420.0,main,0.01487711686382364
1992,3.4,2.4,0.03504936618778571,428.0,main,0.01333743253380889
1993,3.5,2.4,0.03959111560449436,430.0,main,0.0127472962541085
1994,3.6,2.4,0.03908969824090286,432.0,main,0.01260222826695909
1995,3.7,2.4,0.04276800261805985,436.0,main,0.01229170838006392
1996,3.8,2.4,0.03491064277189931,439.0,main,0.01151833304010595
1997,3.9,2.4,0.03200016048478049,444.0,main,0.01258196016734484
1998,4.0,2.4,0.03135657275497643,446.0,main,0.01312906011095904
1999,4.100000000000001,2.4,0.03097480907881984,446.0,main,0.01104591191944121
2000,4.2,2.4,0.03511578563108678,448.0,main,0.01183664816353752
2001,4.3,2.4,0.02946220093749868,450.0,main,0.01247388312877257
2002,4.4,2.4,0.02619674123845109,451.0,main,0.01102682737267059
2003,4.5,2.4,0.02504631745992388,457.0,main,0.01010857543406226
2004,4.600000000000001,2.4,0.02192672944580347,458.0,main,0.009902076481895707
2005,4.7,2.4,0.01068528032392113,462.0,main,0.008512041490150793
2006,4.800000000000001,2.4,0.01263966662019465,463.0,main,0.00771786253905166
2007,4.9,2.4,0.004562935289088858,466.0,main,0.00939875846014016
2008,5.0,2.4,-0.0006027605386615503,468.0,main,0.008922303716579176
2009,5.1,2.4,0.001901598682121589,469.0,main,0.00923065475774844
2010,5.199999999999999,2.4,-0.0005011161895833095,470.0,main,0.008833950194143026
2011,5.299999999999999,2.4,-0.0005263972004225208,470.0,main,0.008960440396917081
2012,5.399999999999999,2.4,0.002220935733550209,471.0,main,0.008320313398937247
2013,5.499999999999998,2.4,0.001935408498929939,471.0,main,0.009101447797315964
2014,5.599999999999998,2.4,0.004461047356303046,472.0,main,0.008524709300666676
2015,5.699999999999998,2.4,0.001477024782358423,473.0,main,0.008985952006930847
2016,5.799999999999997,2.4,0.001365985445262386,473.0,main,0.008968346784283498
2017,5.899999999999997,2.4,0.001065071499892606,473.0,main,0.008625387363711696
2018,5.999999999999996,2.4,0.003619406802148861,476.0,main,0.008162532583092552
2019,6.099999999999996,2.4,0.003237994594680673,476.0,main,0.008380177966106878
2020,6.199999999999996,2.4,-0.0001357474426202417,477.0,main,0.008387416238334021
2021,6.299999999999995,2.4,-0.00342715169540783,478.0,main,0.007671827425071754
2022,6.399999999999995,2.4,-0.009160908021154882,480.0,main,0.007110353119327179
2023,6.499999999999995,2.4,-0.01473895048417245,482.0,main,0.007324978382312322
2024,6.599999999999994,2.4,-0.01458061301038511,482.0,main,0.007141942546765482
2025,6.699999999999994,2.4,-0.01460706359273403,482.0,main,0.007137652487671058
2026,6.799999999999994,2.4,-0.01446888258437656,482.0,main,0.007377322504185801
2027,6.899999999999993,2.4,-0.01440931653880307,482.0,main,0.007231442994550895
2028,6.999999999999993,2.4,-0.0172603977060935,483.0,main,0.007106483449402479
2029,7.099999999999993,2.4,-0.01700154769072739,483.0,main,0.007164365697412319
2030,7.199999999999992,2.4,-0.01954464599938968,484.0,main,0.006871172378436452
2031,7.299999999999992,2.4,-0.01611402259514963,485.0,main,0.006588177126255298
2032,7.399999999999991,2.4,-0.0126011476523048,486.0,main,0.00658779689714456
2033,7.499999999999991,2.4,-0.0121875388135246,488.0,main,0.006209675307960971
2034,7.599999999999991,2.4,-0.01195586883876162,488.0,main,0.006099715531072593
2035,7.69999999999999,2.4,-0.01160107245029024,488.0,main,0.005943487652954456
2036,7.79999999999999,2.4,-0.0113829738504915,488.0,main,0.006191411596467746
2037,7.89999999999999,2.4,-0.01118611478152417,488.0,main,0.005994251023348467
2038,7.999999999999989,2.4,-0.01081290393738421,488.0,main,0.006214842215610202
2039,8.099999999999989,2.4,-0.00724698408332221,489.0,main,0.006367431593851126
2040,8.199999999999989,2.4,-0.01012560632268455,490.0,main,0.006231297172580018
2041,8.299999999999988,2.4,-0.009635841754210412,490.0,main,0.005945605076593052
2042,8.399999999999988,2.4,-0.00916654674130307,490.0,main,0.005985957627701616
2043,8.499999999999988,2.4,0.003768151448143256,494.0,main,0.004590498286374236
2044,8.599999999999987,2.4,0.003847244942861114,494.0,main,0.004600032875869247
2045,8.699999999999987,2.4,0.003973890859637032,494.0,main,0.00447054806097644
2046,8.799999999999986,2.4,0.004168230429154248,494.0,main,0.004401370865244929
2047,8.899999999999986,2.4,0.004189125053270149,494.0,main,0.004546792657479382
2048,8.999999999999986,2.4,0.007255200450873532,497.0,main,0.002339925209056524
2049,9.099999999999985,2.4,0.007277817295927107,497.0,main,0.002348311557085457
2050,9.199999999999985,2.4,0.007290714543030426,497.0,main,0.002336276449692672
2051,9.299999999999985,2.4,0.007289132381229226,497.0,main,0.002318676010172067
2052,9.399999999999984,2.4,0.007317912691699674,497.0,main,0.002358963094201593
2053,9.499999999999984,2.4,0.007348243586959147,497.0,main,0.002404760035520194
2054,9.599999999999984,2.4,0.007381726280991052,497.0,main,0.002362819253772066
2055,9.699999999999983,2.4,0.007393675010314259,497.0,main,0.002318897887703124
2056,9.799999999999983,2.4,0.007458558624913761,497.0,main,0.002313195320327107
2057,9.899999999999983,2.4,0.007468752238623411,497.0,main,0.00232104411134098
2058,9.999999999999982,2.4,0.007512275383011852,497.0,main,0.002303204728655017
2059,2.3,2.5,0.1890477000612354,70.0,main,0.03203127715077397
2060,2.4,2.5,0.009066894853861808,342.0,main,0.0202346413986367
2061,2.5,2.5,0.02119222613515653,357.0,main,0.01880017379704447
2062,2.6,2.5,0.009908589023408219,364.0,main,0.02162491508970563
2063,2.7,2.5,-0.001034827293268554,373.0,main,0.01793379036754492
2064,2.8,2.5,0.0142561754418896,383.0,main,0.01799709342648102
2065,2.9,2.5,0.03511871498903756,398.0,main,0.01793408212948075
2066,3.0,2.5,0.02815529886930292,407.0,main,0.01746047668492253
2067,3.1,2.5,0.02838480765425422,409.0,main,0.01616473292684385
2068,3.2,2.5,0.02624074522968405,410.0,main,0.01751572938607011
2069,3.3,2.5,0.03806784083409132,417.0,main,0.01599177112533772
2070,3.4,2.5,0.03549612004309874,420.0,main,0.0152632967455839
2071,3.5,2.5,0.0373272195797785,429.0,main,0.0124544871438017
2072,3.6,2.5,0.03467613110940736,430.0,main,0.01255872186449781
2073,3.7,2.5,0.04400373536005012,432.0,main,0.01322337061772578
2074,3.8,2.5,0.040835913615853,437.0,main,0.01263261140996167
2075,3.9,2.5,0.0374401697307293,438.0,main,0.01216061984304164
2076,4.0,2.5,0.03204973613249394,442.0,main,0.01229093622521072
2077,4.100000000000001,2.5,0.03147265680732199,446.0,main,0.01255278628098962
2078,4.2,2.5,0.03127519963498004,446.0,main,0.01283976039890236
2079,4.3,2.5,0.03056843937280562,446.0,main,0.0134977250718243
2080,4.4,2.5,0.0298314225607372,450.0,main,0.01223581221664569
2081,4.5,2.5,0.02924475639217889,450.0,main,0.01321558764044599
2082,4.600000000000001,2.5,0.01794497401633198,454.0,main,0.01101644413643219
2083,4.7,2.5,0.02244957520068488,458.0,main,0.01042940268505814
2084,4.800000000000001,2.5,0.01903509271116866,459.0,main,0.00950702351396105
2085,4.9,2.5,0.01058950998477553,462.0,main,0.009008039883580473
2086,5.0,2.5,0.007466442186486031,465.0,main,0.00927948782425299
2087,5.1,2.5,-0.0005937313317929314,468.0,main,0.008938026570598343
2088,5.199999999999999,2.5,-0.0007368577778036451,468.0,main,0.009060725256833239
2089,5.299999999999999,2.5,-0.0006256785297298186,470.0,main,0.008745806334361941
2090,5.399999999999999,2.5,-0.000613360166333539,470.0,main,0.008788911467769554
2091,5.499999999999998,2.5,-0.0005047029464361196,470.0,main,0.008789593148148318
2092,5.599999999999998,2.5,0.002082242101849967,471.0,main,0.00899269190638848
2093,5.699999999999998,2.5,0.001905035621430676,471.0,main,0.00963277512993978
2094,5.799999999999997,2.5,0.004504469440392398,472.0,main,0.00831116121415321
2095,5.899999999999997,2.5,0.004081843103988523,472.0,main,0.007924782907800233
2096,5.999999999999996,2.5,0.001179476843707712,473.0,main,0.009691133065929265
2097,6.099999999999996,2.5,0.001112375608190302,473.0,main,0.008925169264071038
2098,6.199999999999996,2.5,0.003620679618419578,476.0,main,0.008596771574153148
2099,6.299999999999995,2.5,0.003298318837298145,476.0,main,0.008872831014268829
2100,6.399999999999995,2.5,5.913952884766053e-06,477.0,main,0.008538652569518447
2101,6.499999999999995,2.5,-0.003118215076465789,478.0,main,0.008251187089737915
2102,6.599999999999994,2.5,-0.009115816485428455,480.0,main,0.006799211024602194
2103,6.699999999999994,2.5,-0.01197112503742482,481.0,main,0.007312584262329022
2104,6.799999999999994,2.5,-0.01469737287382535,482.0,main,0.007151235032757144
2105,6.899999999999993,2.5,-0.01464806505276272,482.0,main,0.007049845519021202
2106,6.999999999999993,2.5,-0.01467311790715212,482.0,main,0.007004436932077127
2107,7.099999999999993,2.5,-0.0173480493680631,483.0,main,0.006863851756799992
