level_0,level_1,rs,r_mean,r_std
4,14.5,[0.04309367 0.04309367 0.04368974 ... 0.83707253 0.86089883 0.88170709],0.7076164233508004,0.12096004829958291
5,1.0,[0.01564523 0.01564523 0.01387004 ... 0.09397888 0.08848977 0.08235561],0.04246970451437439,0.02292936621196185
5,1.5,[0.01564523 0.01564523 0.01387101 ... 0.13180865 0.12596618 0.1192386 ],0.06297485958841008,0.028709364610876528
5,2.0,[0.01564523 0.01564523 0.01387198 ... 0.04544936 0.04898571 0.05349547],0.07971108736077297,0.03571004895070566
5,2.5,[0.01564523 0.01564523 0.01387296 ... 0.11880705 0.1185015  0.11966483],0.13281734584646662,0.07131112034163319
5,3.0,[0.01564523 0.01564523 0.01387393 ... 0.16710288 0.16155365 0.15500357],0.2076258806958491,0.1055825183251754
5,3.5,[0.01564523 0.01564523 0.01387491 ... 0.38923893 0.38306566 0.37660006],0.2470308771805624,0.11935133291920248
5,4.0,[0.01564523 0.01564523 0.01387588 ... 0.33724248 0.34570133 0.35377948],0.2803651984134816,0.12049013873179665
5,4.5,[0.01564523 0.01564523 0.01387685 ... 0.01116526 0.01579168 0.02005192],0.30073502154328036,0.14778099357609267
5,5.0,[0.01564523 0.01564523 0.01387783 ... 0.63080045 0.64643848 0.65996822],0.33460756309128453,0.17936251809953732
5,5.5,[0.01564523 0.01564523 0.0138788  ... 0.21057224 0.22923863 0.24715375],0.3736903437640964,0.15690074186079717
5,6.0,[0.01564523 0.01564523 0.01387978 ... 0.7663087  0.78909926 0.80783655],0.4395812095142934,0.20603009555673793
5,6.5,[0.01564523 0.01564523 0.01388075 ... 0.60324219 0.6317521  0.65864693],0.43238814202775083,0.22287509348422194
5,7.0,[0.01564523 0.01564523 0.01388172 ... 0.39596558 0.37098325 0.34611334],0.43039828120998513,0.2349948385305128
5,7.5,[0.01564523 0.01564523 0.0138827  ... 0.7578324  0.77680999 0.7907301 ],0.4024607981691499,0.21488814910509918
5,8.0,[0.01564523 0.01564523 0.01388367 ... 0.2438976  0.24503052 0.24729097],0.475114255523607,0.2074647717658603
5,8.5,[0.01564523 0.01564523 0.01388465 ... 0.56997002 0.58699109 0.60531345],0.649503818843041,0.08377624694971543
5,9.0,[0.01564523 0.01564523 0.01388562 ... 0.28440474 0.27634043 0.26966043],0.519759262519854,0.2079096992559168
5,9.5,[0.01564523 0.01564523 0.0138866  ... 0.40095467 0.41064303 0.42324767],0.6000541197779736,0.16146697384969333
5,10.0,[0.01564523 0.01564523 0.01388757 ... 0.80150492 0.8226801  0.84200496],0.6936315749746005,0.12834521584225514
5,10.5,[0.01564523 0.01564523 0.01388854 ... 0.43946555 0.42653197 0.41481464],0.5300073701801846,0.133172563239269
5,11.0,[0.01564523 0.01564523 0.01388952 ... 0.49424982 0.49586166 0.49774035],0.5889207003446749,0.1233157869254314
5,11.5,[0.01564523 0.01564523 0.01389049 ... 0.46573386 0.46613821 0.46699671],0.5764916080673366,0.1236120509831442
5,12.0,[0.01564523 0.01564523 0.01389147 ... 0.66855208 0.69632956 0.72502948],0.630082910328025,0.13519572123429166
5,12.5,[0.01564523 0.01564523 0.01389244 ... 0.47601836 0.48949725 0.50495958],0.6028664427118028,0.15610862183884305
5,13.0,[0.01564523 0.01564523 0.01389342 ... 0.74000677 0.71584805 0.69255591],0.6585386998325827,0.13991981093621264
5,13.5,[0.01564523 0.01564523 0.01389439 ... 0.65014691 0.67094827 0.69358168],0.7119012232539349,0.1077899966575578
5,14.0,[0.01564523 0.01564523 0.01389537 ... 0.54452448 0.54640807 0.54862953],0.653626351443687,0.12296387760387172
5,14.5,[0.01564523 0.01564523 0.01389634 ... 0.57913222 0.56735272 0.55772097],0.6623973349430728,0.12112718472144825
6,1.0,[0.04512244 0.04512244 0.04237027 ... 0.03208021 0.03534358 0.0382017 ],0.04653293009006805,0.020141758990163846
6,1.5,[0.04512244 0.04512244 0.04237307 ... 0.07587991 0.07635882 0.07583459],0.04756902079586486,0.029491202251534947
6,2.0,[0.04512244 0.04512244 0.04237588 ... 0.02532901 0.01550675 0.01386508],0.06469193361842597,0.03890017135597542
6,2.5,[0.04512244 0.04512244 0.04237869 ... 0.06590639 0.07038876 0.07444187],0.10414162529935979,0.050486460322420525
6,3.0,[0.04512244 0.04512244 0.04238149 ... 0.20694125 0.21263699 0.21810145],0.17608357050239903,0.08788106698439609
6,3.5,[0.04512244 0.04512244 0.0423843  ... 0.24165841 0.22505404 0.20890499],0.20188685062196685,0.0920897571549027
6,4.0,[0.04512244 0.04512244 0.04238711 ... 0.26478365 0.23982882 0.21545863],0.21830634102886406,0.21449988339650575
6,4.5,[0.04512244 0.04512244 0.04238991 ... 0.25149953 0.23576015 0.22171109],0.2768653231746686,0.2003686938150924
6,5.0,[0.04512244 0.04512244 0.04239272 ... 0.11142655 0.13392436 0.15846818],0.1896614174593526,0.22893011386944506
6,5.5,[0.04512244 0.04512244 0.04239553 ... 0.2126035  0.2364926  0.26117417],0.21672760842413652,0.2033413369579834
6,6.0,[0.04512244 0.04512244 0.04239833 ... 0.3009836  0.30521571 0.31043448],0.3103432525600306,0.13637711471612757
6,6.5,[0.04512244 0.04512244 0.04240114 ... 0.32808655 0.35725696 0.38792023],0.36468896547410184,0.22354055821009966
6,7.0,[0.04512244 0.04512244 0.04240395 ... 0.1155116  0.12228984 0.13044777],0.3518869776157103,0.2153647097658191
6,7.5,[0.04512244 0.04512244 0.04240675 ... 0.24503933 0.27330986 0.29956275],0.24273935817254472,0.17228312561640222
6,8.0,[0.04512244 0.04512244 0.04240956 ... 0.43707287 0.44587192 0.45620586],0.5835936747124488,0.15121486901064055
6,8.5,[0.04512244 0.04512244 0.04241237 ... 0.5986553  0.57067099 0.54325889],0.5134760988907546,0.12717542615187152
6,9.0,[0.04512244 0.04512244 0.04241517 ... 0.34501824 0.34786423 0.3535553 ],0.5621448074432576,0.15442303231984003
6,9.5,[0.04512244 0.04512244 0.04241798 ... 0.53086992 0.52561276 0.51867697],0.5220697174360496,0.15614242205652318
6,10.0,[0.04512244 0.04512244 0.04242079 ... 0.47040001 0.45982459 0.45034605],0.5893574964476613,0.13163948398003
6,10.5,[0.04512244 0.04512244 0.0424236  ... 0.72701098 0.72377126 0.72055883],0.6955004574921198,0.07573436713931858
6,11.0,[0.04512244 0.04512244 0.0424264  ... 0.8174913  0.79411392 0.76800024],0.6180153717171376,0.128380894354751
6,11.5,[0.04512244 0.04512244 0.04242921 ... 0.49505692 0.49915666 0.50542752],0.6095465922242358,0.11540682745159378
6,12.0,[0.04512244 0.04512244 0.04243202 ... 0.5876414  0.58089751 0.57465221],0.6198456155719532,0.12563761212640073
6,12.5,[0.04512244 0.04512244 0.04243483 ... 0.66035015 0.65148288 0.64397325],0.715354263035812,0.09666271710244694
6,13.0,[0.04512244 0.04512244 0.04243763 ... 0.65814058 0.66764177 0.67900086],0.70257050676184,0.08139118386453038
6,13.5,[0.04512244 0.04512244 0.04244044 ... 0.55961769 0.5613893  0.56563551],0.7057635043261686,0.11603060549270804
6,14.0,[0.04512244 0.04512244 0.04244325 ... 0.60583857 0.62464036 0.645159  ],0.657105865171427,0.11750241774085567
6,14.5,[0.04512244 0.04512244 0.04244606 ... 0.74440026 0.76486229 0.78612887],0.7471558534898419,0.09478024328627986
7,1.0,[0.01983233 0.01983233 0.02014903 ... 0.05648377 0.05799352 0.05934675],0.03884649775513779,0.019818657100291657
7,1.5,[0.01983233 0.01983233 0.02015031 ... 0.06182395 0.06513337 0.06815439],0.040513369897022346,0.018143622662504345
7,2.0,[0.01983233 0.01983233 0.02015159 ... 0.08129976 0.086624   0.09165628],0.060934585857901034,0.028216188071145273
7,2.5,[0.01983233 0.01983233 0.02015287 ... 0.06671024 0.05602107 0.0458709 ],0.08603616809276654,0.051355619990296086
7,3.0,[0.01983233 0.01983233 0.02015415 ... 0.111119   0.12060549 0.12899079],0.1931057610350145,0.11658862623425326
7,3.5,[0.01983233 0.01983233 0.02015543 ... 0.22111976 0.22567169 0.23100167],0.21485960700147447,0.13992444637257895
7,4.0,[0.01983233 0.01983233 0.02015671 ... 0.6668632  0.65430027 0.63965922],0.2753575986875342,0.20917681957554854
7,4.5,[0.01983233 0.01983233 0.02015799 ... 0.07483965 0.08249439 0.08929724],0.22854913360294107,0.20844868694514887
7,5.0,[0.01983233 0.01983233 0.02015927 ... 0.05107075 0.04506288 0.03973355],0.21723412930557795,0.21438761349472038
7,5.5,[0.01983233 0.01983233 0.02016055 ... 0.67989423 0.66236268 0.64251606],0.3707086630076851,0.19995195140512256
7,6.0,[0.01983233 0.01983233 0.02016183 ... 0.54474501 0.51803546 0.49243359],0.47046941881273857,0.17691437688682743
7,6.5,[0.01983233 0.01983233 0.02016311 ... 0.6532771  0.66799343 0.6789293 ],0.3478359159806669,0.1462485522183466
7,7.0,[0.01983233 0.01983233 0.02016439 ... 0.56783403 0.53623747 0.50473069],0.5447838923864982,0.12851161180498757
7,7.5,[0.01983233 0.01983233 0.02016567 ... 0.5562698  0.53395576 0.5134089 ],0.5643330109031486,0.13398589871303543
7,8.0,[0.01983233 0.01983233 0.02016695 ... 0.51456337 0.49361501 0.47339951],0.5447364200564959,0.1204903443315755
7,8.5,[0.01983233 0.01983233 0.02016823 ... 0.68800783 0.68647812 0.68342751],0.6087020582020368,0.09630299859679457
7,9.0,[0.01983233 0.01983233 0.02016951 ... 0.52190379 0.53765411 0.55409167],0.5775468576822138,0.10805876157657186
7,9.5,[0.01983233 0.01983233 0.02017079 ... 0.60555754 0.60948679 0.61163784],0.5992854212929823,0.11103211761149813
7,10.0,[0.01983233 0.01983233 0.02017207 ... 0.91528024 0.90790201 0.89497189],0.6343901849025901,0.15947490240697898
7,10.5,[0.01983233 0.01983233 0.02017335 ... 0.80071821 0.77223739 0.74187913],0.6335712395980245,0.15843246314494788
